Type,,Name,Hash,Correlation,File Name,Samples,# Warp,# Reg,Smem,CTA Dim,"Live""""Registers",Avg. Warp Latency,Instruction Mix,Dependency-Attributed Samples,Top Stall #1 (Type),Top Stall #1 (% Samples),Top Stall #2 (Type),Top Stall #2 (% Samples),Top Stall #3 (Type),Top Stall #3 (% Samples),NOTSEL,SELECT,THDBAR,DISPCH,SLEEP,BRANCH,WAIT,NOINST,MATHTH,SHRTSB,MIOT,TEXTHR,LGSB,LGTHR,MEMBAR,IMCMIS,DRAIN,MISC,"Instructions""""Executed","Thread Instructions""""Executed","Thread Instructions""""Executed Pred On","Active Threads""""Per Warp"
Fragment,,main,0x0d462850881e038b,GLSL/SPIRV,flat.frag,0.42596695685549296,13,48,156 - 1248,--,43,13430.223291692266,277,16628,11218,NOTSEL,0.27873115989515074,WAIT,0.19101545434687636,LGSB,40833,14104,0,2403,0,11153,27983,5279,14026,5113,1132,26,24267,5,0,77,20,75,0,0,0,0
Unattributed,,Samples,--,--,--,0.20038439842518768,--,--,--,--,0,0,,,,MISC,0.9595878981353841,WAIT,0.014728288471305232,SHRTSB,12,251,0,0,0,229,1015,182,1,542,80,215,0,2,0,197,59,66130,0,0,0,0
Fragment,,main,0x2613666e1cf14f4b,GLSL/SPIRV,shadowblur.frag,0.1157469599958129,48,28,36 - 288,--,20,1092.8940087529554,30,42196,425,TEXTHR,0.48958725852237045,LGSB,0.29190845831135226,WAIT,1544,1767,0,324,0,592,2429,340,23,811,76,19489,11620,0,0,391,165,236,0,0,0,0
Mesh,,main,0x08330bd39524d93e,GLSL/SPIRV,flat.mesh,0.09730630332001605,36,55,0,--,53,0,87,48028,317,LGSB,0.5984461377558643,WAIT,0.16793665023158524,SELECT,546,2271,0,59,0,798,5620,745,259,810,7,0,20027,8,0,2267,15,33,0,0,0,0
Mesh,,main_14,0x08330bd39524d93e,GLSL/SPIRV,flat.mesh,0.05237646620957565,32,63,0,--,57,0,90,15395,97,LGSB,0.6472547604507856,WAIT,0.1760395270082718,SELECT,105,1518,0,22,0,379,3171,279,23,235,13,0,11659,0,0,595,5,9,0,0,0,0
Fragment,,main,0x30116f5a6766e8f7,GLSL/SPIRV,shadow_depth.frag,0.05204208028751374,48,16,24 - 192,--,2,213.36099306642808,9,2107,2024,WAIT,0.30886132528774163,SHRTSB,0.2995865459827914,BRANCH,55,1525,0,2,0,3906,5528,741,209,5362,0,0,0,0,0,0,332,238,0,0,0,0
Fragment,,main,0xb2acdaf495cbaa85,GLSL/SPIRV,tonemap.frag,0.01693737387835331,48,16,36 - 288,--,10,1827,17,5228,106,LGSB,0.8975107296137339,WAIT,0.03227467811158798,SHRTSB,33,113,0,1,0,21,188,16,0,163,16,11,5228,0,0,10,6,19,0,0,0,0
Compute,,main,0xf7b4e45ca21ecaea,SPIRV,comp.10000.spv (f7b4e45ca21ecaea),0.01500084323406433,32,18,0,"<8, 8, 1>",14,1827,17,10694,90,LGSB,0.6927699166505137,MISC,0.12890094979647218,WAIT,13,97,0,0,0,60,329,86,8,45,0,102,3574,0,0,171,9,665,0,0,0,0
Compute,,main,0x82be4f7a04dd096a,GLSL/SPIRV,lightcull.comp,0.010156608919671779,32,35,0,"<64, 1, 1>",28,26718,74,4800,1,LGSB,0.5771543086172345,WAIT,0.1717721156598912,SELECT,0,349,0,3,0,62,600,275,8,1,0,0,2016,0,0,164,0,15,0,0,0,0
Compute,,main,0xf7b4e45ca21ecaea,SPIRV,comp.10000.spv (f7b4e45ca21ecaea),0.008275324645114768,32,20,0,"<8, 8, 1>",16,2034.1248191027496,20,2097,26,LGSB,0.3787772312016866,IMCMIS,0.15881939564300773,WAIT,29,114,0,0,0,114,436,157,15,13,0,138,1078,0,0,452,4,296,0,0,0,0
Fragment,,main,0x7e83b2c60ae5ce26,GLSL/SPIRV,transmission.frag,0.00539669801171223,13,58,156 - 1248,--,50,1827,319,605,502,LGSB,0.5129310344827587,WAIT,0.20043103448275862,SELECT,55,218,0,8,0,135,372,37,10,63,4,2,952,0,0,0,0,0,0,0,0,0
Compute,,main,0x1b8858374cbf45f7,GLSL/SPIRV,cull.comp,0.00019772384956704293,48,34,0,"<256, 1, 1>",29,0,127,33,8,LGSB,0.5441176470588235,WAIT,0.23529411764705882,SHRTSB,0,3,0,0,0,4,16,3,0,4,0,0,37,0,0,1,0,0,0,0,0,0
Compute,,main,0xa9d1a1415f7162d9,GLSL/SPIRV,tpsort.comp,8.141570276290003e-05,48,17,8192,"<256, 1, 1>",15,9137,26,7,6,WAIT,0.39285714285714285,SHRTSB,0.17857142857142858,THDBAR,1,1,4,0,0,0,11,2,0,5,0,0,1,0,0,3,0,0,0,0,0,0
Vertex,,main_14,0x0d784b2a5ac3816f,GLSL/SPIRV,tonemap.vert,7.269259175258931e-05,32,16,224 - 896,--,8,0,11,2,0,WAIT,0.68,SELECT,0.12,NOINST,0,3,0,0,0,0,17,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Compute,,main,0xa662506e2af390b2,GLSL/SPIRV,shadowsetup.comp,2.326162936082858e-05,32,49,0,"<64, 1, 1>",45,0,254,2,0,NOINST,0.375,LGSB,0.25,MISC,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,1,0,1,0,0,0,0
Compute,,main,0x0571f8e5720fbbea,GLSL/SPIRV,lightsetup.comp,2.0353925690725008e-05,32,43,0,"<64, 1, 1>",30,1827,33,3,0,LGSB,0.42857142857142855,IMCMIS,0.2857142857142857,MISC,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,1,0,0,0,0
Compute,,main,0xd4a477949637de31,GLSL/SPIRV,update.comp,1.4538518350517862e-05,48,40,0,"<256, 1, 1>",36,0,177,1,0,IMCMIS,0.4,MISC,0.2,LGSB,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0
Fragment,,main,0xf8a216a1cf6a43a3,None,Click to load,0,--,--,--,--,0,0,28,,,SHRTSB,0,MISC,0,DRAIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesh,,main,0xae0e32a0e917ecc8,None,Click to load,0,--,--,--,--,0,0,88,,,SHRTSB,0,MISC,0,DRAIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
